;adresas;kaina;kaina_kv;plotas;kambariai
0;;200860.0;3453.0;58.17;3.0
1;;47500.0;2317.0;20.5;2.0
2;;390000.0;6725.0;57.99;2.0
3;;168500.0;2462.0;68.44;3.0
4;;435000.0;5959.0;73.0;4.0
5;;312000.0;6933.0;45.0;3.0
6;;199000.0;2647.0;75.19;3.0
7;;127750.0;3901.0;32.75;1.0
8;;324000.0;5438.0;59.58;2.0
9;;100737.0;1564.0;64.42;2.0
10;;195000.0;952.0;204.84;4.0
11;;170000.0;4545.0;37.4;1.0
12;;179000.0;2183.0;82.0;3.0
13;;108000.0;2616.0;41.29;2.0
14;;690000.0;6635.0;104.0;4.0
15;;173000.0;3604.0;48.0;2.0
16;;249000.0;4058.0;61.36;3.0
17;;160000.0;3478.0;46.0;2.0
18;;73000.0;2808.0;26.0;2.0
19;;77000.0;2406.0;32.0;2.0
20;;150000.0;2921.0;51.36;2.0
21;;215000.0;4285.0;50.18;2.0
22;;88000.0;2350.0;37.44;2.0
23;;105000.0;2561.0;41.0;2.0
24;;226000.0;3403.0;66.42;3.0
25;;315000.0;4011.0;78.53;3.0
26;;38940.0;1770.0;22.0;1.0
27;;182117.0;4137.0;44.02;2.0
28;;164692.0;2440.0;67.5;3.0
29;;135000.0;2213.0;61.0;2.0
30;;319968.0;3325.0;96.22;4.0
31;;280000.0;5477.0;51.12;2.0
32;;160000.0;2218.0;72.14;3.0
33;;995000.0;10160.0;97.93;3.0
34;;830000.0;5804.0;143.0;3.0
35;;144999.0;2617.0;55.4;3.0
36;;125000.0;3000.0;41.67;2.0
37;;219000.0;4844.0;45.21;2.0
38;;100900.0;3135.0;32.19;1.0
39;;133500.0;3018.0;44.24;2.0
40;;145000.0;3152.0;46.0;2.0
41;;140000.0;3415.0;41.0;2.0
42;;170000.0;2024.0;84.0;3.0
43;;134900.0;2645.0;51.0;3.0
44;;69900.0;2377.0;29.41;1.0
45;;192000.0;3368.0;57.0;3.0
46;;164000.0;4316.0;38.0;2.0
47;;95000.0;2879.0;33.0;2.0
48;;239000.0;3918.0;61.0;3.0
49;;49000.0;1633.0;30.0;1.0
50;;169000.0;4126.0;40.96;2.0
51;;229000.0;4906.0;46.68;2.0
52;;108000.0;3092.0;34.93;1.0
53;;91222.0;2887.0;31.6;1.0
54;;86154.0;2731.0;31.55;2.0
55;;109600.0;4327.0;25.33;1.0
56;;111000.0;2467.0;45.0;2.0
57;;166000.0;3773.0;44.0;2.0
58;;307000.0;2488.0;123.37;4.0
59;;126321.0;3900.0;32.39;1.0
60;;168823.0;3850.0;43.85;2.0
61;;116875.0;2750.0;42.5;2.0
62;;139400.0;4000.0;34.85;2.0
63;;214900.0;4082.0;52.64;3.0
64;;140610.0;2420.0;58.1;3.0
65;;163000.0;3881.0;42.0;2.0
66;;67000.0;1182.0;56.68;2.0
67;;76000.0;1188.0;64.0;3.0
68;;83990.0;2745.0;30.6;2.0
69;;119000.0;2532.0;47.0;2.0
70;;174900.0;2610.0;67.01;4.0
71;;85500.0;3139.0;27.24;1.0
72;;129000.0;2950.0;43.73;2.0
73;;123900.0;1906.0;65.0;2.0
74;;104420.0;2299.0;45.41;2.0
75;;132000.0;2750.0;48.0;2.0
76;;133500.0;2880.0;46.36;2.0
77;;99850.0;2504.0;39.87;2.0
