;adresas;kaina;kaina_kv;plotas;kambariai
0;Vilnius, Burbiškės, Burbiškių g.;200860.0;3453.0;58.17;3.0
1;Kaunas, Vilijampolė, Raudondvario pl.;47500.0;2317.0;20.5;2.0
2;Vilnius, Senamiestis, Teatro g.;390000.0;6725.0;57.99;2.0
3;Vilnius, Antakalnis, Duburio g.;168500.0;2462.0;68.44;3.0
4;Palanga, S. Daukanto g.;435000.0;5959.0;73.0;4.0
5;Palanga, S. Daukanto g.;312000.0;6933.0;45.0;3.0
6;Kaunas, Žaliakalnis, Žeimenos g.;199000.0;2647.0;75.19;3.0
7;Vilnius, Šnipiškės, Kalvarijų g.;127750.0;3901.0;32.75;1.0
8;Vilnius, Šnipiškės, Konstitucijos pr.;324000.0;5438.0;59.58;2.0
9;Kaunas, Žaliakalnis, Žemaičių g.;100737.0;1564.0;64.42;2.0
10;Kaunas, Vaišvydava, Tursono g.;195000.0;952.0;204.84;4.0
11;Klaipėda, Senamiestis, Teatro g.;170000.0;4545.0;37.4;1.0
12;Palanga, Palanga, Saulėlydžio g.;179000.0;2183.0;82.0;3.0
13;Klaipėda, Mokykla, Mokyklos g.;108000.0;2616.0;41.29;2.0
14;Palanga, Vėžių g.;173000.0;3604.0;48.0;2.0
15;Vilnius, Naujininkai, Kapsų g.;249000.0;4058.0;61.36;3.0
16;Palanga, Palanga, Vėžių g.;160000.0;3478.0;46.0;2.0
17;Kaunas, Žaliakalnis, Žalioji g.;73000.0;2808.0;26.0;2.0
18;Kaunas, Žaliakalnis, Mituvos g.;77000.0;2406.0;32.0;2.0
19;Vilnius, Pašilaičiai, Dociškių g.;150000.0;2921.0;51.36;2.0
20;Klaipėda, Centras, Bijūnų g.;215000.0;4285.0;50.18;2.0
21;Klaipėda, Šauliai, Ragainės g.;88000.0;2350.0;37.44;2.0
22;Klaipėda, Centras, Danės g.;105000.0;2561.0;41.0;2.0
23;Vilnius, Visoriai, Visorių g.;226000.0;3403.0;66.42;3.0
24;Vilnius, Baltupiai, Kazio Ulvydo g.;315000.0;4011.0;78.53;3.0
25;Palanga, Šventoji, Mėguvos g.;38940.0;1770.0;22.0;1.0
26;Vilnius, Naujamiestis, Skroblų g.;182117.0;4137.0;44.02;2.0
27;Vilnius, Bajorai, Salaspilio g.;164692.0;2440.0;67.5;3.0
28;Palanga, Palanga, Saulėlydžio g.;135000.0;2213.0;61.0;2.0
29;Vilnius, Santariškės, M. Bukšos g.;319968.0;3325.0;96.22;4.0
30;Vilnius, Žirmūnai, Raitininkų g.;280000.0;5477.0;51.12;2.0
31;Vilnius, Pašilaičiai, Pavilnionių g.;160000.0;2218.0;72.14;3.0
32;Vilnius, Šnipiškės, Olimpiečių g.;995000.0;10160.0;97.93;3.0
33;Vilnius, Senamiestis, Gedimino pr.;830000.0;5804.0;143.0;3.0
34;Kaunas, Dainava, Taikos pr.;144999.0;2617.0;55.4;3.0
35;Kaunas, Žemieji Šančiai, A. Juozapavičiaus pr.;125000.0;3000.0;41.67;2.0
36;Vilnius, Markučiai, Kaukysos g.;219000.0;4844.0;45.21;2.0
37;Vilnius, Žirmūnai, Žirmūnų g.;100900.0;3135.0;32.19;1.0
38;Vilnius, Karoliniškės, Algimanto Petro Kavoliuko g.;133500.0;3018.0;44.24;2.0
39;Vilnius, Pilaitė, I. Simonaitytės g.;145000.0;3152.0;46.0;2.0
40;Vilnius, Karoliniškės, Algimanto Petro Kavoliuko g.;140000.0;3415.0;41.0;2.0
41;Klaipėda, Alksnynė, Taikos pr.;170000.0;2024.0;84.0;3.0
42;Vilnius, Justiniškės, Taikos g.;134900.0;2645.0;51.0;3.0
43;Kaunas, Žaliakalnis, Kalniečių g.;69900.0;2377.0;29.41;1.0
44;Vilnius, Pilaitė, Tvankstos g.;192000.0;3368.0;57.0;3.0
45;Vilnius, Šnipiškės, Lvivo g.;164000.0;4316.0;38.0;2.0
46;Vilnius, Justiniškės, Helsinkio g.;95000.0;2879.0;33.0;2.0
47;Vilnius, Naujamiestis, Gerosios Vilties g.;239000.0;3918.0;61.0;3.0
48;Kaunas, Dainava, Partizanų g.;49000.0;1633.0;30.0;1.0
49;Vilnius, Naujamiestis, Eigulių g.;169000.0;4126.0;40.96;2.0
50;Vilnius, Vilkpėdė, Eigulių g.;229000.0;4906.0;46.68;2.0
51;Vilnius, Naujininkai, Kaminkelio g.;108000.0;3092.0;34.93;1.0
52;Vilnius, Pilaitė, Pilkalnio g.;91222.0;2887.0;31.6;1.0
53;Vilnius, Naujamiestis, Smolensko g.;86154.0;2731.0;31.55;2.0
54;Vilnius, Naujamiestis, Vytenio g.;109600.0;4327.0;25.33;1.0
55;Palanga, Mėguvos g.;111000.0;2467.0;45.0;2.0
56;Vilnius, Lazdynėliai, Žaibo g.;166000.0;3773.0;44.0;2.0
57;Klaipėda, Centras, Žiedų skg.;307000.0;2488.0;123.37;4.0
58;Vilnius, Naujamiestis, Algirdo g.;126321.0;3900.0;32.39;1.0
59;Vilnius, Naujamiestis, Marijampolės g.;168823.0;3850.0;43.85;2.0
60;Vilnius, Karoliniškės, Sietyno g.;116875.0;2750.0;42.5;2.0
61;Vilnius, Šnipiškės, Šatrijos g.;139400.0;4000.0;34.85;2.0
62;Vilnius, Naujamiestis, Mindaugo g.;214900.0;4082.0;52.64;3.0
63;Druskininkų m., Liepų g.;140610.0;2420.0;58.1;3.0
64;Vilnius, Lazdynėliai, Žaibo g.;163000.0;3881.0;42.0;2.0
