;pavadinimai;zodziu_kiekis;simboliu_kiekis
0;Landynė daugiabutyje: ar gali būti blogiau?;6;43
1;Smarkios avarijos Ramučiuose liudininkai: kalti neveikiantys šviesoforai! (papildyta);8;85
2;Už šūkį „šlovė Ukrainai“ – išpuoliai prieš lietuvius užsienio kurortuose ;10;73
3;Kauno centre – girto vairuotojo šou: nukentėjo keleivis;8;55
4;„Vičiūnų grupė“ pardavė gamyklą Kaliningrade  ;5;46
5;Orai: kai kur Lietuvoje iš dangaus krito snaigės;8;48
6;Mugė Laisvės alėjoje – dar gausesnė;6;35
7;Lietingą rytą Kaune lydėjo avarijos;5;35
8;Žada, kad iki 2050-ųjų žuvusiųjų avarijose nebebus: kliedesiai ar realybė?;10;74
9;„Vičiūnų grupė“ pardavė gamyklą Kaliningrade  ;5;46
10;Landynė daugiabutyje: ar gali būti blogiau?;6;43
11;Mugė Laisvės alėjoje – dar gausesnė;6;35
12;VRK: dovanodamas gėles moterims Kaziuko mugėje I. Vėgėlė papirkinėjo rinkėjus;10;77
13;Sužydėjusios Kauno puošmenos džiugins iki pat rudens ;7;53
14;Ilgapirščių taikinys – 25 tūkst. eurų vertės kauniečių „Mercedes-Benz“;9;70
15;Nacionalinis kultūros forumas mėgins sujungti, kas sunkiai sujungiama, – kultūrą ir verslumą;12;92
16;Elektromobilių vairuotojus Kaune pasitinka pokyčiai: atsiskaitymas už įkrovimą – mobiliąja programėle;11;101
17;45-asis „Lietuvos teatrų pavasaris“ kviečia Kauno publiką į teatrališką savaitę;10;79
18;Išskirtinėje vietoje – prestižiniai „Kauno panoramos“ apartamentai;7;66
19;Kaune tiriant galimai apgaule įgytas ES lėšas – įtarimai devyniems asmenims, du suimti ;13;87
20;R. Jatkevičiūtės-Kasparavičienės sielos peizažai;4;48
21;Liūčių tvindomame Dubajuje esantis lietuvis: nustėrau pamatęs apsemtą aštuntą viešbučio aukštą;11;94
22;Kauną užplūs skandinaviškos kultūros banga;5;42
23;Maironio lietuvių literatūros muziejui toliau vadovaus D. Cibulskienė;8;69
24;Nufilmuota: ką daryti su nevalyvais ir neblaiviais keleiviais? ;8;63
25;Po nuogąstavimo dėl per siauros sankryžos – atsakas: viskas apskaičiuota;10;72
26;Viešojo transporto grimasos: keleiviai sugrūsti kaip silkės;7;59
27;Iš Šiaulių „Akropolio“ buvo evakuoti žmonės;6;43
28;Ukmergės gatvėje neliks 35 medžių: kas čia planuojama?;8;54
29;Vėl pirštu beda į Trijų mergelių tilto defektus: jei taip toliau, viskas bus sulopyta;14;85
30;Nufilmuota: ką daryti su nevalyvais ir neblaiviais keleiviais? ;8;63
31;Po nuogąstavimo dėl per siauros sankryžos – atsakas: viskas apskaičiuota;10;72
32;Viešojo transporto grimasos: keleiviai sugrūsti kaip silkės;7;59
33;Iš Šiaulių „Akropolio“ buvo evakuoti žmonės;6;43
34;Žiurkėnas mumyseReikia saugoti savo kailiuką, nes gyvename...;7;61
35;Ar prezidento vadovaujama Valstybės gynimo taryba nieko nebereiškia? Lietuvą pasiekė puiki žinia – Vokietijos...;14;112
